frequency_hz,magnitude
814.453,0.118578
815.186,0.157275
815.918,0.0509613
816.65,0.145135
817.383,0.0816612
818.115,0.237029
818.848,0.0520526
819.58,0.261134
820.312,0.156265
821.045,0.174217
821.777,0.0457784
822.51,0.185494
823.242,0.21677
823.975,0.347918
824.707,0.191878
825.439,0.134543
826.172,0.168559
826.904,0.0592454
827.637,0.21605
828.369,0.263192
829.102,0.167408
829.834,0.249472
830.566,0.296361
831.299,0.283758
832.031,0.181096
832.764,0.165344
833.496,0.346204
834.229,0.447975
834.961,0.0722662
835.693,0.258502
836.426,0.357734
837.158,0.0828479
837.891,0.0667068
838.623,0.141165
839.355,0.288281
840.088,0.183331
840.82,0.114594
841.553,0.1658
842.285,0.174259
843.018,0.292473
843.75,0.311033
844.482,0.340687
845.215,0.446922
845.947,0.386121
846.68,0.162288
847.412,0.102997
848.145,0.0367384
848.877,0.0849183
849.609,0.0694471
850.342,0.173559
851.074,0.0726136
851.807,0.189811
852.539,0.178733
853.271,0.171864
854.004,0.146774
854.736,0.0776276
855.469,0.159682
856.201,0.124911
856.934,0.134552
857.666,0.285724
858.398,0.392972
859.131,0.299493
859.863,0.0829103
860.596,0.100227
861.328,0.158415
862.061,0.0717882
862.793,0.170619
863.525,0.179565
864.258,0.288118
864.99,0.0750048
865.723,0.353857
866.455,0.334983
867.188,0.275922
867.92,0.473628
868.652,0.42352
869.385,0.363479
870.117,0.173293
870.85,0.160149
871.582,0.315213
872.314,0.117699
873.047,0.110057
873.779,0.164943
874.512,0.0826624
875.244,0.210634
875.977,0.351447
876.709,0.357983
877.441,0.270111
878.174,0.149561
878.906,0.0718237
879.639,0.333399
880.371,0.215313
881.104,0.133776
881.836,0.207631
882.568,0.218181
883.301,0.303603
884.033,0.16482
884.766,0.138731
885.498,0.174101
886.23,0.142809
886.963,0.197708
887.695,0.416898
888.428,0.143033
889.16,0.0903133
889.893,0.123276
890.625,0.0415035
891.357,0.348001
892.09,0.256108
892.822,0.235562
893.555,0.381279
894.287,0.258004
895.02,0.113156
895.752,0.236831
896.484,0.146787
897.217,0.137943
897.949,0.144096
898.682,0.123585
899.414,0.214682
900.146,0.229674
900.879,0.235827
901.611,0.222686
902.344,0.314724
903.076,0.235141
903.809,0.0474005
904.541,0.105391
905.273,0.325006
906.006,0.326992
906.738,0.107773
907.471,0.0340737
908.203,0.0505005
908.936,0.190023
909.668,0.0611426
910.4,0.200701
911.133,0.102359
911.865,0.037568
912.598,0.132578
913.33,0.0692076
914.062,0.207014
914.795,0.256217
915.527,0.0873748
916.26,0.429258
916.992,0.279642
917.725,0.136452
918.457,0.239665
919.189,0.192135
919.922,0.32256
920.654,0.276043
921.387,0.21124
922.119,0.155512
922.852,0.206006
923.584,0.114501
924.316,0.246668
925.049,0.204707
925.781,0.2037
926.514,0.294351
927.246,0.411304
927.979,0.390171
928.711,0.265515
929.443,0.0705441
930.176,0.233018
930.908,0.145877
931.641,0.291325
932.373,0.112102
933.105,0.0431112
